Product,Documents,URL,VAS
Death Benefit Settlement Option,dbso-flyer.pdf,https://www.prudential.com.hk/en/products/health/medical/pru-encash-hospital-cash-savings-insurance/,NA
Prudential Encash Hospital Cash Savings Insurance,encash-product-brochure_hk.pdf,https://www.prudential.com.hk/en/products/health/medical/pru-encash-hospital-cash-savings-insurance/,SmartAppoint Service
Prudential Encash Hospital Cash Savings Insurance,encash-product-brochure_mc.pdf,https://www.prudential.com.hk/en/products/health/medical/pru-encash-hospital-cash-savings-insurance/,SmartAppoint Service
PremierFlex Medical Plan,premierflex-medical-plan-product-brochure_hk.pdf,https://www.prudential.com.hk/en/products/health/medical/premierflex-medical-plan/,SmartAppoint Service; HealthCare+; Medical Green Channel; Medical Expenses Direct Billing Service
PremierFlex Medical Plan,premierflex-medical-plan-product-brochure_mc.pdf,https://www.prudential.com.hk/en/products/health/medical/premierflex-medical-plan/,SmartAppoint Service; HealthCare+; Medical Green Channel; Medical Expenses Direct Billing Service
PRUHealth CoreChoice Medical Plan,pruhealth-corechoice-medical-plan-premium-table-en.pdf,https://www.prudential.com.hk/en/products/health/medical/prudential-VHIS-series/pruhealth-corechoice-medical-plan/,NA
PRUHealth CoreChoice Medical Plan,pruhealth-corechoice-medical-plan-product-brochure.pdf,https://www.prudential.com.hk/en/products/health/medical/prudential-VHIS-series/pruhealth-corechoice-medical-plan/,Medical Green Channel; Treatment Sure; Medical Expenses Direct Billing Service; SmartAppoint Service; 24-hour Worldwide Emergency Assistance Services
PRUhealth medical plus,pruhealth-medical-plus-2024-product-brochure_hk.pdf,https://www.prudential.com.hk/en/products/health/medical/pruhealth-medical-plus/,Medical Green Channel; Treatment Sure; Medical Expenses Direct Billing Service; SmartAppoint Service; 24-hour Worldwide Emergency Assistance Services
PRUhealth medical plus,pruhealth-medical-plus-product-brochure_mc.pdf,https://www.prudential.com.hk/en/products/health/medical/pruhealth-medical-plus/,Medical Green Channel; Treatment Sure; Medical Expenses Direct Billing Service; SmartAppoint Service; 24-hour Worldwide Emergency Assistance Services
PRUHealth VHIS EasyChoice Plan,pruhealth-vhis-easychoice-plan-premium-table.pdf,https://www.prudential.com.hk/en/products/health/medical/prudential-VHIS-series/pruhealth-vhis-easychoice-plan/,NA
PRUHealth VHIS EasyChoice Plan,pruhealth-vhis-easychoice-plan-product-brochure.pdf,https://www.prudential.com.hk/en/products/health/medical/prudential-VHIS-series/pruhealth-vhis-easychoice-plan/,Medical Green Channel; Treatment Sure; Medical Expenses Direct Billing Service; SmartAppoint Service; 24-hour Worldwide Emergency Assistance Services
PRUHealth VHIS VIP Plan,pruhealth-vhis-vip-plan-en.pdf,https://www.prudential.com.hk/en/products/health/medical/prudential-VHIS-series/pruhealth-vhis-vip-plan/,Medical Green Channel; Treatment Sure; Medical Expenses Direct Billing Service; SmartAppoint Service; 24-hour Worldwide Emergency Assistance Services
PRUHealth VHIS VIP Plan,pruhealth-vhis-vip-premium-table.pdf,https://www.prudential.com.hk/en/products/health/medical/prudential-VHIS-series/pruhealth-vhis-vip-plan/,NA
PRUmyhealth prestige medical plan,prumyhealth-prestige-medical-plan-2025-product-brochure.pdf,https://www.prudential.com.hk/en/products/health/medical/prumyhealth-prestige-medical-plan/,Medical Green Channel; Treatment Sure; Medical Expenses Direct Billing Service; SmartAppoint Service; 24-hour Worldwide Emergency Assistance Services
